table,column,name
cashflow,OBTAIN_SUBSIDIARY_OTHER,取得子公司及其他营业单位支付的现金净额
cashflow,PAY_OTHER_INVEST,支付其他与投资活动有关的现金
cashflow,TOTAL_INVEST_OUTFLOW,投资活动现金流出小计
cashflow,NETCASH_INVEST,投资活动产生的现金流量净额
cashflow,ACCEPT_INVEST_CASH,吸收投资收到的现金
cashflow,SUBSIDIARY_ACCEPT_INVEST,子公司吸收少数股东投资收到的现金
cashflow,RECEIVE_LOAN_CASH,取得借款收到的现金
cashflow,ISSUE_BOND,发行债券收到的现金
cashflow,RECEIVE_OTHER_FINANCE,收到的其他与筹资活动有关的现金
cashflow,TOTAL_FINANCE_INFLOW,筹资活动现金流入小计
cashflow,PAY_DEBT_CASH,偿还债务所支付的现金
cashflow,ASSIGN_DIVIDEND_PORFIT,分配股利、利润或偿付利息支付的现金
cashflow,SUBSIDIARY_PAY_DIVIDEND,子公司支付给少数股东的股利、利润
cashflow,PAY_OTHER_FINANCE,支付的其他与筹资活动有关的现金
cashflow,FINANCE_OUTFLOW_OTHER,筹资活动现金流出的其他项目
cashflow,TOTAL_FINANCE_OUTFLOW,筹资活动现金流出小计
cashflow,NETCASH_FINANCE,筹资活动产生的现金流量净额
cashflow,RATE_CHANGE_EFFECT,汇率变动对现金及现金等价物的影响
cashflow,CCE_ADD,现金及现金等价物净增加额
cashflow,BEGIN_CCE,期初现金及现金等价物余额
cashflow,END_CCE,期末现金及现金等价物余额
cashflow,NETPROFIT,净利润
cashflow,ASSET_IMPAIRMENT,资产减值准备
cashflow,FA_IR_DEPR,固定资产和投资性房地产折旧
cashflow,IA_AMORTIZE,无形资产摊销
cashflow,DISPOSAL_LONGASSET_LOSS,处置固定资产、无形资产和其他长期资产的损失
cashflow,FAIRVALUE_CHANGE_LOSS,公允价值变动损失
cashflow,FINANCE_EXPENSE,财务费用
cashflow,INVEST_LOSS,投资损失
cashflow,DEFER_TAX,递延所得税
cashflow,DT_ASSET_REDUCE,递延所得税资产减少
cashflow,DT_LIAB_ADD,递延所得税负债增加
cashflow,INVENTORY_REDUCE,存货的减少
cashflow,OPERATE_RECE_REDUCE,经营性应收项目的减少
cashflow,OPERATE_PAYABLE_ADD,经营性应付项目的增加
cashflow,OPERATE_NETCASH_OTHERNOTE,经营活动产生的现金流量净额其他项目
cashflow,NETCASH_OPERATENOTE,经营活动产生的现金流量净额
cashflow,END_CASH,现金的期末余额
cashflow,BEGIN_CASH,现金的期初余额
cashflow,CCE_ADDNOTE,现金及现金等价物的净增加额
cashflow,OPTION_TYPE 审计意见
